"Nst/","NH4uM","PO4uM","PtotuM","NtotuM","SiuM","NO3uM","O2uM","DOC.uM","Pressure","FeIIIuM","MnIIuM","DOP.uM","DON.uM"
1,0.357,1.194,1.29,22.5,25,12.857,212.332,91.667,500,0.152,0.142,0.097,9.286
1,0.357,0.935,1.032,22.143,14.643,11.429,243.293,108.333,250,0.107,0.033,0.097,10.357
1,0.357,0.968,1.065,20,14.286,11.786,219.468,91.667,98,0.107,0.025,0.097,7.857
1,0.429,0.452,0.548,13.214,7.143,4.643,236.39,108.333,45,0.107,0.022,0.097,8.143
1,0.571,0.097,0.226,9.357,2.214,0.429,261.463,141.667,10,0.107,0.027,0.129,8.357
1,0.714,0.065,0.129,9.429,0.893,0.429,283.499,175,4,0.107,0.024,0.065,8.286
1,1.5,0.065,0.129,10.357,0.893,1,279.479,150,0,0.132,0.031,0.065,7.857
2,0.357,1,1.097,18.929,15.357,11.786,237.179,100,181,"NaN","NaN",0.097,6.786
2,0.357,0.806,0.935,17.5,12.143,9.929,239.305,108.333,99,"NaN","NaN",0.129,7.214
2,0.357,0.548,0.645,13.929,8.571,6.214,241.16,116.667,60,"NaN","NaN",0.097,7.357
2,0.643,0.129,0.226,9,1.893,0.286,264.487,150,10,"NaN","NaN",0.097,8.071
2,1.643,0.065,0.097,11.429,1,1.143,288.508,150,0,"NaN","NaN",0.032,8.643
3,0.357,1,1.097,17.857,15.714,11.429,243.1,91.667,240,"NaN","NaN",0.097,6.071
3,0.357,0.935,1.032,18.214,14.643,11.071,242.7,100,130,"NaN","NaN",0.097,6.786
3,0.357,0.548,0.645,13.571,8.571,6.143,238.096,108.333,60,"NaN","NaN",0.097,7.071
3,0.857,0.194,0.29,9.929,3.179,1.143,250.813,125,20,"NaN","NaN",0.097,7.929
3,1.357,0.097,0.129,9.857,0.893,0.929,288.888,133.333,0,"NaN","NaN",0.032,7.571
4,0.357,1.258,1.323,20.714,27.857,13.214,206.649,75.833,650,"NaN","NaN",0.065,7.143
4,0.357,1.194,1.29,20.714,25.357,13.214,209.098,75,520,"NaN","NaN",0.097,7.143
4,0.357,0.968,1.097,19.643,16.071,11.429,243.283,76.667,250,"NaN","NaN",0.129,7.857
4,0.357,1.032,1.065,19.643,15,12.143,213.765,83.333,100,"NaN","NaN",0.032,7.143
4,0.857,0.161,0.323,10.286,3.536,0.929,247.452,116.667,20,"NaN","NaN",0.161,8.5
4,2.429,0.032,0.097,11.429,2.071,1.857,283.819,133.333,0,"NaN","NaN",0.065,7.143
5,0.357,1.258,1.355,20.357,25.714,13.214,205.948,80,460,"NaN","NaN",0.097,6.786
5,0.357,1.323,1.419,20.357,25.357,13.214,205.8,100,440,"NaN","NaN",0.097,6.786
5,0.357,1,1.097,18.214,14.643,11.429,242.023,83.333,200,"NaN","NaN",0.097,6.429
5,0.714,0.097,0.258,9,1.75,0.214,259.417,91.667,13,"NaN","NaN",0.161,8.071
5,0.929,0.065,0.129,9.071,1.107,0.643,281.938,116.667,0,"NaN","NaN",0.065,7.5
6,0.357,1.29,1.355,20.357,26.429,12.857,204.578,75.833,500,"NaN","NaN",0.065,7.143
6,0.357,1,1.355,18.571,14.643,11.429,239.971,91.667,200,"NaN","NaN",0.355,6.786
6,0.357,1,1.097,19.286,14.286,11.786,219.666,77.5,100,"NaN","NaN",0.097,7.143
6,0.786,0.161,0.29,9.571,1.821,0.857,252.535,116.667,20,"NaN","NaN",0.129,7.929
6,0.929,0.032,0.129,9,1.464,0.786,283.054,133.333,0,"NaN","NaN",0.097,7.286
7,7.286,0.258,0.387,17.5,1.571,0.143,225.458,125,10,"NaN","NaN",0.129,10.071
